area,baths,beds,bathrooms,dining room,distance from airport (kms),drawing room,electricity backup,flooring,floors,kids play area,kitchens,lounge or sitting room,study room,waste disposal,price per sq yard,price,Flat,House,Lower Portion,Penthouse,Room,Upper Portion,Bahria Town Karachi,Cantt,Clifton,DHA Defence,Federal B Area,Gadap Town,Gulistan-e-Jauhar,Gulshan-e-Iqbal Town,Jamshed Town,Malir,North Nazimabad,Others,Scheme 33
130,3,2,3,1,0,1,1,1,0,0,1,0,0,0,68461,8900000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,5,5,5,1,1,1,1,1,1,0,1,1,1,1,128000,32000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
272,5,5,6,1,0,1,0,0,0,1,2,1,1,0,91911,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,3,3,3,1,1,1,1,1,0,1,1,1,1,1,118473,29500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,2,2,2,1,1,0,1,1,0,0,1,0,0,1,77528,6900000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,113636,32500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,103146,29500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
286,3,3,3,1,1,1,1,1,0,1,1,1,1,1,110139,31500000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,3,3,0,0,0,0,0,1,0,0,0,0,0,0,66666,8000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,2,2,0,0,0,0,0,1,1,0,0,0,0,0,62500,4500000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
235,3,3,3,1,0,1,0,0,0,0,1,0,0,0,78723,18500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,2,0,0,0,0,0,0,0,0,0,0,0,73770,9000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,3,3,3,1,0,1,0,0,0,0,1,0,0,0,76000,19000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,5,4,5,1,0,1,0,0,0,0,2,1,0,0,104000,13000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,2,1,1,1,1,1,1,1,1,1,1,1,77868,9500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,3,3,0,0,0,0,1,1,0,0,0,0,0,1,121359,25000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,4,3,4,1,0,1,1,0,0,1,2,1,1,1,126400,15800000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,0,0,0,0,0,0,0,1,0,0,0,0,142857,6000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,0,0,0,0,0,0,0,0,125000,19000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,2,2,2,0,0,0,0,0,0,0,0,0,0,0,82075,8700000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,3,3,3,1,0,1,0,0,0,0,0,0,0,0,120000,15000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,0,1,0,1,1,1,0,0,1,1,0,0,86065,10500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
328,4,4,4,1,0,1,0,0,0,0,1,0,0,0,73780,24200000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,2,1,0,1,0,0,0,0,1,0,0,0,86065,10500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,2,1,0,1,0,0,0,0,1,0,0,0,86065,10500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
283,5,4,5,1,0,1,1,1,0,1,1,0,1,0,141342,40000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,2,2,2,1,0,1,0,0,0,0,1,0,0,0,85849,9100000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,0,1,0,0,0,0,1,0,0,0,68571,24000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,3,3,3,1,0,1,0,0,0,0,1,0,0,0,114973,21500000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,2,2,0,0,0,0,0,1,0,1,0,0,0,0,73584,7800000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,1,1,0,0,1,1,1,0,0,1,0,0,1,81163,4464000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,0,0,0,0,1,1,0,1,1,0,0,0,57377,7000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,3,3,0,0,1,0,1,1,0,0,0,0,0,0,76595,18000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,2,2,2,1,1,1,1,1,0,1,1,1,1,1,94059,9500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,4,4,4,1,1,1,1,1,0,1,1,1,1,1,94059,19000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,2,2,2,1,1,1,1,1,0,1,1,1,1,1,97029,9800000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
